variable,category,present_in_genrocket,dataset_column,target_text,expected_values,qa_note,measure,observed,target_low,target_high,target_type,status
rx_count_last_6m,Pharmacy,True,rx_count_last_6m,Picture,Continuous Nonnegative integer count; 0 or greater.,"GREEN/YELLOW: Mean 6.2, median 6, range 0-20 are plausible, but rx_count should align with polypharmacy_flag, high_cost_drug_flag, chronic-condition burden, age, dual eligibility, and pharmacy_review_flag. Current low polypharmacy prevalence may understate the tail implied by a max of 20 fills.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
total_cost_last_6m,Pharmacy,True,total_cost_last_6m,Picture,Nonnegative currency amount; 0 or greater.,"GREEN/YELLOW: Cost is right-skewed, which is good. It should correlate with admits, ED visits, observation stays, specialist visits, high_cost_drug_flag, CHF/CKD/diabetes, dual eligibility, risk scores, and risk_tier. Watch that high costs are not driven only by random noise.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
current_risk_score,Risk Scores,False,,Picture,Numeric score; expected to stay within the synthetic score scale used for this dataset.,"GREEN/YELLOW: Broad range is useful, but it must align with risk_tier, percolator scores, utilization, chronic conditions, SDOH burden, and cost. Because risk_tier has only 2 Very High members while scores reach 79.8, check the tiering thresholds; the top score tail may not be represented categorically.",,,,,,MISSING_COLUMN
percolator_clinical_score,Risk Scores,False,,Picture,Numeric score; expected to stay within the synthetic score scale used for this dataset.,"GREEN/YELLOW: Distribution has good spread. It should be driven by CHF, CKD, diabetes, COPD, BH/SUD, age, polypharmacy, and prior utilization. If clinical score has weak correlations with clinical flags, the synthetic score will behave like a generic random variable.",,,,,,MISSING_COLUMN
percolator_sdoh_score,Risk Scores,False,,Picture,Numeric score; expected to stay within the synthetic score scale used for this dataset.,"GREEN/YELLOW: Distribution has good spread and should align with food_insecurity, housing_instability, transportation_barrier, utilities_insecurity, language, county/region, living_alone, and engagement difficulty. Check especially that multiple SDOH flags stack into higher scores.",,,,,,MISSING_COLUMN
percolator_utilization_score,Risk Scores,False,,Picture,Numeric score; expected to stay within the synthetic score scale used for this dataset.,"GREEN/YELLOW: Range reaches 100, which supports a high-utilization tail. It should correlate with ED visits, admissions, observation stays, total cost, current_risk_score, and risk_tier. If Very High risk_tier remains nearly empty, this score and the tier variable are probably out of sync.",,,,,,MISSING_COLUMN
food_insecurity_flag,SDOH,True,food_insecurity_flag,15%-25% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","GREEN/YELLOW: 22.3% is within target. It should positively correlate with housing_instability, utilities_insecurity, transportation_barrier, SDOH score, community_referral_flag, and lower adherence/engagement. If food insecurity is not often paired with at least one other SDOH need, the social-risk structure is too independent.",yes_rate,0.2,0.15,0.25,range,PASS
housing_instability_flag,SDOH,True,housing_instability_flag,8%-15% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: 18.1% exceeds the 8%-15% target. This may be reasonable for complex care, but it should correspond with food insecurity, utilities insecurity, transportation barriers, SUD/BH risk, ED use, and community referrals. If housing instability is high while other SDOH flags are low or uncorrelated, reduce it or add shared SDOH burden logic.",yes_rate,0.1,0.08,0.15,range,PASS
transportation_barrier_flag,SDOH,True,transportation_barrier_flag,12%-20% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: 24.6% is above the 12%-20% recommendation. This can be plausible, but it should show up as lower PCP/specialist follow-through, lower PDC, more missed engagement, more outreach attempts, and higher community referrals. If transportation is high without access/engagement consequences, it is overrepresented.",yes_rate,0.146,0.12,0.2,range,PASS
utilities_insecurity_flag,SDOH,True,utilities_insecurity_flag,12% propensity 1,"Binary indicator: 0 = no / absent, 1 = yes / present.",YELLOW: 16.8% is above the 12% recommendation. It should strongly overlap with food and housing insecurity and lift SDOH score/community referral likelihood. Standalone utility insecurity without other financial/social strain would be less realistic.,yes_rate,0.145,0.095,0.145,single_pct_plus_tolerance,PASS
admits_last_6m,Utilization,True,admits_last_6m,Picture,Continous integer: Nonnegative integer count; 0 or greater.,"GREEN: Zero-inflated mean 0.339 is plausible. Admissions should cluster with CHF, CKD, COPD, diabetes, older age, dual eligibility, high utilization score, high cost, and higher risk tier. Watch for admitted members with otherwise low risk profiles unless intentionally modeled as acute anomalies.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
ed_visits_last_30d,Utilization,True,ed_visits_last_30d,Picture,Nonnegative integer count; 0 or greater.,GREEN/YELLOW: Short-window ED mean 0.222 is plausible. It should be nested within or strongly consistent with ed_visits_last_6m; members with 30-day ED visits should usually have at least as many 6-month ED visits. Also correlate with housing/BH/SUD and utilization score.,valid_range_invalid_rate,0.0,0.0,0.0,,PASS
ed_visits_last_6m,Utilization,True,ed_visits_last_6m,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"GREEN: Mean 0.85 and max 5 support a repeat-ED tail. ED use should correlate with SDOH burden, BH/SUD, COPD/asthma, admits/observation stays, cost, utilization score, and intervention selection. If ED visits are independent from SDOH/BH flags, complex-care realism suffers.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
observation_stays_last_6m,Utilization,True,observation_stays_last_6m,Picture,Nonnegative integer count; 0 or greater.,"GREEN: Sparse positive count is plausible. It should correlate with ED visits, admits, utilization score, risk tier, and total cost. Observation stays should not be more common than ED visits in the same member logic.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
pcp_visits_last_6m,Utilization,True,pcp_visits_last_6m,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"GREEN/YELLOW: Mean 3.27 is plausible, but PCP visits are ambiguous: higher values may mean better access or higher disease burden. They should correlate with chronic conditions and medication burden, while transportation barriers and language barriers may reduce visit completion. Consider nonlinear/banded use.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
specialist_visits_last_6m,Utilization,True,specialist_visits_last_6m,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"GREEN/YELLOW: Mean 1.37 is plausible. It should correlate with age, dual eligibility, CHF/CKD/diabetes/COPD, high-cost drugs, total cost, and clinical score. If specialist visits are low among clinically complex members, access realism may be weak.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
case_manager_name,Demographics,True,case_manager_name,Picture,Categorical,"YELLOW: Distribution is operationally plausible, but case manager can accidentally encode geography, program, risk mix, intervention style, and outcome differences. Use for QA/workload review or sensitivity tests; avoid primary modeling unless you intentionally want operational assignment effects.",categorical_profile,1000.0,,,,PROFILE_ONLY
client_contract,Demographics,True,client_contract,Picture,Categorical,"GREEN/YELLOW: Contract sizes are plausible. Check correlations with county, service_region, plan_type, language, program, and case_manager_name. Contracts may legitimately carry population mix, but if they become a shortcut for clinical risk or intervention assignment, model interpretation can be distorted.",categorical_profile,1.0,,,,PROFILE_ONLY
county,Demographics,True,county,Picture,categorical,"GREEN/YELLOW: County distribution is stable. Counties should correlate with region, contract, language, transportation barriers, SDOH score, and access-related utilization. A perfectly uniform county mix with no access/SDOH relationship may be too clean for a Medicaid synthetic dataset.",categorical_profile,54.0,,,,PROFILE_ONLY
gender,Demographics,True,gender,Picture,Categorical,"YELLOW: Female/Male split is usable, but missing Other/Unknown reduces realism. Pregnancy_flag being all zero makes gender/pregnancy logic currently irrelevant. If pregnancy is regenerated, enforce appropriate gender/age constraints and avoid impossible combinations.",categorical_profile,4.0,,,,PROFILE_ONLY
language,Demographics,True,language,Picture,Categorical,"GREEN/YELLOW: English/Spanish/Other mix is plausible. Language should correlate with outreach success, successful contacts, engagement level, community referral, maybe region/county, and SDOH score. If language has no relationship to engagement/access barriers, it will be mostly cosmetic.",categorical_profile,2.0,,,,PROFILE_ONLY
plan_type,Demographics,True,plan_type,Picture,Categorical,"YELLOW/RED: This is a Medicaid/CCM population, but plan_type includes Medicare and Commercial. If those are intentional comparison groups, fine; otherwise they dilute the Medicaid frame. Also reconcile plan_type Dual at 20.1% with dual_eligible at 28.3%. These two should have a defined crosswalk.",categorical_profile,5.0,,,,PROFILE_ONLY
program,Demographics,True,program,Picture,Categorical,"YELLOW: Program mix is plausible, but program should be correlated with behavioral_health_risk_flag, risk_tier, SDOH score, and intervention_type. It is also a leakage risk if assigned after risk stratification or intervention selection. Treat timing carefully.",categorical_profile,1.0,,,,PROFILE_ONLY
service_region,Demographics,True,service_region,Picture,Categorical,"GREEN/YELLOW: Balanced regions are fine for synthetic testing. However, region should correlate with county, contract, case manager, transportation barriers, language, and community resource availability. If all regions have identical risk/SDOH/utilization patterns, the geography is too artificial.",categorical_profile,1.0,,,,PROFILE_ONLY
risk_tier,Risk Scores,True,risk_tier,Picture,Categorical,"RED: Very High has only 2 members out of 1,000, which is too sparse and likely inconsistent with high percolator_utilization_score values, high costs, and complex clinical burden. Either combine High + Very High or regenerate tier thresholds so the top 5%-10% is represented for modeling and subgroup QA.",categorical_profile,4.0,,,,PROFILE_ONLY
intervention_type,post treatment,True,intervention_type,Picture,Categorical,"YELLOW: Post-treatment variable. It should be correlated with program, risk_tier, BH/SUD flags, pharmacy complexity, SDOH flags, and community/pharmacy action flags. Do not use as a pre-treatment predictor; it can leak care assignment decisions.",categorical_profile,5.0,,,,PROFILE_ONLY
intervention_days_active,post treatment,True,intervention_days_active,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"YELLOW: Post-treatment duration should correlate with engagement_level, touches_per_month, successful_contacts, risk tier, program, and intervention_type. Very short durations with high touches or high engagement would need explanation; long durations with no contacts may indicate data-quality issues.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
touches_per_month,post treatment,True,touches_per_month,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"YELLOW: Should correlate with intervention_days_active, successful_contacts, engagement_level, escalation, risk_tier, and program. It should not be high for members with zero successful contacts unless outreach attempts are high and the definition includes failed touches.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
outreach_attempts,post treatment,True,outreach_attempts,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"YELLOW: Should be >= successful_contacts and should rise among high-risk, language-barrier, SDOH, housing instability, and lower-engagement members. If attempts are independent of reachability/social-risk variables, the engagement process is not realistic.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
successful_contacts,post treatment,True,successful_contacts,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"YELLOW: Must be <= outreach_attempts and should drive engagement_level, call-duration variables, and intervention_days_active. It should be lower among transportation/language/housing instability if those barriers are meant to affect reachability.",valid_range_invalid_rate,0.004,0.0,0.0,,FAIL
avg_call_duration_min,post treatment,True,avg_call_duration_min,Picture,Continuous integer: Nonnegative integer count; don’t use 0,"YELLOW: Should be NULL/blank when successful_contacts=0 and <= max_call_duration_min when calls exist. Longer average calls should correlate with complex needs, escalation, SDOH referral, and higher engagement. Avoid zeros if the workbook definition says use NULL when no completed call.",categorical_profile,34.0,,,,PROFILE_ONLY
max_call_duration_min,post treatment,True,max_call_duration_min,Picture,Continuous noteger: Nonnegative noteger count; 0 or greater.,"YELLOW: Must be >= avg_call_duration_min when calls exist and NULL/blank when no successful calls exist. Very high max values should cluster with high-complexity or escalation cases, not random low-risk members.",categorical_profile,34.0,,,,PROFILE_ONLY
notes_escalation_flag,post treatment,True,notes_escalation_flag,Picture,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: Should be concentrated among Very High/High risk, BH/SUD, CHF/CKD/COPD, high ED/admission use, unstable housing, low adherence, and long/complex contacts. If escalation is common among low-risk/no-contact members, the post-treatment logic is inconsistent.",categorical_profile,2.0,,,,PROFILE_ONLY
community_referral_flag,post treatment,True,community_referral_flag,Picture,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: Should align strongly with food insecurity, housing instability, transportation barriers, utilities insecurity, high SDOH score, and intervention_type. If SDOH flags do not increase referrals, the dataset misses a key CCM pathway.",categorical_profile,2.0,,,,PROFILE_ONLY
pharmacy_review_flag,post treatment,True,pharmacy_review_flag,Picture,"Binary indicator: 0 = no / absent, 1 = yes / present.","YELLOW: Should correlate with polypharmacy, rx_count, high_cost_drug_flag, opioid_flag, low PDC, diabetes/CHF/CKD, and transitions of care. Current low polypharmacy prevalence may make pharmacy review look unsupported unless driven by other pharmacy-risk fields.",categorical_profile,2.0,,,,PROFILE_ONLY
engagement_level,post treatment,True,engagement_level,Picture,Categorical,"YELLOW: Should be derived from outreach_attempts, successful_contacts, touches_per_month, call duration, and intervention_days_active. It should also respond to language, housing instability, living alone, and BH/SUD. Avoid assigning engagement independently.",categorical_profile,3.0,,,,PROFILE_ONLY
days_to_intervention_start,post treatment,True,days_to_intervention_start,Picture,Continuous integer: Nonnegative integer count; 0 or greater.,"YELLOW: Should be shorter for Very High/High risk, recent ED/admit, escalation-prone, and high-priority programs. Longer delays should be more common with outreach barriers, language barriers, unstable housing, and low engagement. Random timing weakens operational realism.",valid_range_invalid_rate,0.0,0.0,0.0,,PASS
intervention_start_month,post treatment,True,intervention_start_month,Picture,Categorical 1-12 for the months of the year,"GREEN/YELLOW: Month can be near-uniform unless seasonality is intended. If there are contract launches, staffing ramps, Medicaid redetermination effects, or campaign waves, month should correlate with volume and intervention type. Otherwise keep it neutral.",categorical_profile,12.0,,,,PROFILE_ONLY
intervention_start_wday,post treatment,True,intervention_start_wday,Picture,Categorical,GREEN/YELLOW: Should be concentrated on business days and correlate with operational workflows. Weekend starts should be rare and probably limited to urgent transition/escalation scenarios. Validate coding convention if numeric.,categorical_profile,5.0,,,,PROFILE_ONLY
